fund,matched_fund,fund_confidence,form_d_firm_id,form_d_funds,cik_no_fund,form_adv_firm_id,form_adv_funds,crd_no_fund,firm_id
Servemotion,,1.0,85476,Servemotion,1624803.0,53912,,310188,
Providence  Investment B,Hov Investments,0.9924652736702951,106269,Providence  Investment B,1849471.0,47890,Hov Investments,298297,
Pannotia Partners,,1.0,32325,Pannotia Partners,1480957.0,53912,,310188,
Itasca Capital Partners,Itasca Capital Partners,0.0,64056,Itasca Capital Partners,1545681.0,8786,Itasca Capital Partners,108417,922.0
Barker Partnership,General Partnership,0.8463468313652421,7187,Barker Partnership,1655975.0,60026,General Partnership,321178,
Infusion A,Infuse Partners,0.8617738838405229,63790,Infusion A,1639365.0,60790,Infuse Partners,322191,
Oca Cmtg,,1.0,58964,Oca Cmtg,1717283.0,53912,,310188,
Centracan,,1.0,22510,Centracan,1073101.0,53912,,310188,
Tw Fund I A Series Of Roll Up Vehicles,,1.0,143428,Tw Fund I A Series Of Roll Up Vehicles,1907780.0,53912,,310188,
Protagonist Therapeutics,Pfm Therapeutics Master Fund,0.9462417076502048,30524,Protagonist Therapeutics,1377121.0,11832,Pfm Therapeutics Master Fund,146747,3278.0
Oha Ca Customized Credit Fund Oha Invest Opportunities Fund Ca,,1.0,131853,Oha Ca Customized Credit Fund Oha Invest Opportunities Fund Ca,1892219.0,53912,,310188,
Apx New Harmony Partners F,,1.0,111727,Apx New Harmony Partners F,1861766.0,53912,,310188,
General Equity Partners Offshore,Us Equity Partners Ii Offshore,0.6196290587708009,73680,General Equity Partners Offshore,1696557.0,14693,Us Equity Partners Ii Offshore,160339,
Greyfox Precision Note A Series Of Greyfox Partners,,1.0,45948,Greyfox Precision Note A Series Of Greyfox Partners,1768893.0,53912,,310188,
J Caird Partners,Third Web Capital Partners,0.9985765707598574,28745,J Caird Partners,1143526.0,54639,Third Web Capital Partners,309633,
Pillar Value Fund,Hollis Park Value Master Fund,0.9579406950012216,35608,Pillar Value Fund,1607176.0,4906,Hollis Park Value Master Fund,171461,18201.0
Galaxy Vets,Galaxy Xxv Clo,0.9000536740258184,136891,Galaxy Vets,1894338.0,4651,Galaxy Xxv Clo,105926,12717.0
Z Loan Investment,,1.0,59770,Z Loan Investment,1467826.0,53912,,310188,
Nb Offshore Diversified Arbitrage Fund Ii,P&A Diversified Managers Offshore Fund,0.866306046317029,69216,Nb Offshore Diversified Arbitrage Fund Ii,1322692.0,9624,P&A Diversified Managers Offshore Fund,111731,142825.0
Target Global Selected Opportunities Series Vintage Iii,Entrust Global Select Opportunities Ii,0.7993667780329544,150635,Target Global Selected Opportunities Series Vintage Iii,1915455.0,9350,Entrust Global Select Opportunities Ii,107940,12422.0
Walnut Manor Hillsboro,,1.0,91162,Walnut Manor Hillsboro,1825730.0,53912,,310188,
Pepf Paradise Reit,,1.0,74166,Pepf Paradise Reit,1797375.0,53912,,310188,
Hawaiian Bros,,1.0,124567,Hawaiian Bros,1879942.0,53912,,310188,
Taconic Offshore Intermediate Fund ,Anchorage Short Credit Intermediate Fund,0.9754122149309707,34965,Taconic Offshore Intermediate Fund ,1585714.0,12032,Anchorage Short Credit Intermediate Fund,163779,
Thinoptics,,1.0,36324,Thinoptics,1630162.0,53912,,310188,
Bio Essence,,0.9999999999999999,40744,Bio Essence,1723059.0,53912,,310188,
Ingeneron,,0.9999999999999999,38315,Ingeneron,1678766.0,53912,,310188,
Nova Oak Grove,Nova River,0.9599605894293277,119458,Nova Oak Grove,1863703.0,60763,Nova River,322887,
Blackstone Property Partners Europe,Kildare European Partners Iii,0.9465983572211052,40634,Blackstone Property Partners Europe,1721008.0,5263,Kildare European Partners Iii,167984,
Ot Fund I A Series Of Incisive Ventures,Fund I A Series Of Sancus Ventures,0.766551049214318,98440,Ot Fund I A Series Of Incisive Ventures,1837915.0,60797,Fund I A Series Of Sancus Ventures,321680,
Tccf Feeder Fund,,1.0,60992,Tccf Feeder Fund,1714413.0,53912,,310188,
Pfm Therapeutics Fund,Pfm Therapeutics Master Fund,0.3584775990504508,35731,Pfm Therapeutics Fund,1610252.0,11832,Pfm Therapeutics Master Fund,146747,3278.0
Pistil Pollen,,1.0,107013,Pistil Pollen,1726537.0,53912,,310188,
Zoomcar,,0.9999999999999999,102451,Zoomcar,1588864.0,53912,,310188,
T Biosystems,,0.9999999999999998,32562,T Biosystems,1492674.0,53912,,310188,
Plexus Fund Vi A,Plexus Equity Fund A,0.6791028225950102,177106,Plexus Fund Vi A,1955116.0,53680,Plexus Equity Fund A,310241,
Renewal Mill Pbc,,1.0,86310,Renewal Mill Pbc,1808913.0,53912,,310188,
Spartan Micro,,1.0,38266,Spartan Micro,1677551.0,53912,,310188,
Blackmoor Ownership Holdings,,0.9999999999999999,41695,Blackmoor Ownership Holdings,1734525.0,53912,,310188,
Adalta Opportunity Fund,Di Opportunity Fund,0.7964841225238987,69918,Adalta Opportunity Fund,1795734.0,11998,Di Opportunity Fund,168741,13596.0
Pharo Trading Fund,,1.0,32422,Pharo Trading Fund,1486435.0,53912,,310188,
Old Well Partners Fund,,1.0,38382,Old Well Partners Fund,1679830.0,53912,,310188,
Highvista Iii,,0.9999999999999999,32219,Highvista Iii,1474507.0,53912,,310188,
S A Series Of Jude Gomilas Funds,,0.9999999999999998,57666,S A Series Of Jude Gomilas Funds,1786273.0,53912,,310188,
Templeton Global Summits Cayman Fund,,1.0,58029,Templeton Global Summits Cayman Fund,1503656.0,53912,,310188,
Usedc  B Drilling Fund,,0.9999999999999999,52990,Usedc  B Drilling Fund,1781949.0,53912,,310188,
Pluscios Fund,,1.0,30479,Pluscios Fund,1373702.0,53912,,310188,
Libremax Opportunistic Value Master Fund, West Value Opportunity Fund,0.9609845989046152,44077,Libremax Opportunistic Value Master Fund,1762702.0,8120, West Value Opportunity Fund,168417,
Domain Entertainment Sidecar,,1.0,93608,Domain Entertainment Sidecar,1828544.0,53912,,310188,
Alphadyne Investment Strategies Fund,Ourcrowd Investment In Alphat,0.9951985689000179,72032,Alphadyne Investment Strategies Fund,1457617.0,11005,Ourcrowd Investment In Alphat,169475,
Manulife Infrastructure Fund Ii Lux Scsp,Core Infrastructure Fund Iv Scsp,0.8104735497989184,96700,Manulife Infrastructure Fund Ii Lux Scsp,1833579.0,60767,Core Infrastructure Fund Iv Scsp,322518,
Tempus Labs,,1.0,171850,Tempus Labs,1717115.0,53912,,310188,
Coach Jones,,1.0,121658,Coach Jones,1876437.0,53912,,310188,
Spq Asia Opportunities Us Fund,Lateral Us Credit Opportunities Fund Ai,0.98599841228643,72723,Spq Asia Opportunities Us Fund,1597510.0,29445,Lateral Us Credit Opportunities Fund Ai,159649,37598.0
Toccata Capital Fund, Capital Fund I,0.8736955173673366,64338,Toccata Capital Fund,1523873.0,48944, Capital Fund I,300538,
Pf Marina,,0.9999999999999999,49446,Pf Marina,1775213.0,53912,,310188,
Cip V Offshore,,0.9999999999999999,74306,Cip V Offshore,1792453.0,53912,,310188,
Cais Millennium Intl,Sovereign New Millennium Fund Ii,0.9425718783676972,33259,Cais Millennium Intl,1523884.0,10760,Sovereign New Millennium Fund Ii,107584,3412.0
Occo Eastern European Fund,,0.9999999999999999,66607,Occo Eastern European Fund,1307088.0,53912,,310188,
Wealthforge Holdings,,1.0,33922,Wealthforge Holdings,1550313.0,53912,,310188,
Finback Ap,,0.9999999999999999,75407,Finback Ap,1802788.0,53912,,310188,
Hc Ventures I, Ventures,0.8155350032322569,157479,Hc Ventures I,1925194.0,60788, Ventures,322559,
Rbj Partners,Spo Partners Ii,0.9949500517672563,29154,Rbj Partners,1218453.0,11933,Spo Partners Ii,157279,12515.0
Crescent Senior Secured Floating Rate Loan Fund Cayman,Pinebridge Senior Secured Loan Fund,0.9432532002640251,30083,Crescent Senior Secured Floating Rate Loan Fund Cayman,1339820.0,4651,Pinebridge Senior Secured Loan Fund,105926,12717.0
Manatuck Hill Mariner Offshore Institutional Fund,Offshore International Equity Fund,0.9475204517140626,30545,Manatuck Hill Mariner Offshore Institutional Fund,1378697.0,12194,Offshore International Equity Fund,105922,8376.0
Mqr,,0.0,33126,Mqr,1518031.0,53912,,310188,
Centerbridge Credit Partners Te,Pinebridge Private Credit,0.9654476999523466,67842,Centerbridge Credit Partners Te,1478952.0,4651,Pinebridge Private Credit,105926,12717.0
Emerging Markets Investable Fund,Everest Capital Emerging Markets Fund,0.7899669917986818,35156,Emerging Markets Investable Fund,1593878.0,16334,Everest Capital Emerging Markets Fund,152674,6530.0
Lumoptik,,1.0,51159,Lumoptik,1778510.0,53912,,310188,
Online Disruptive Technologies,Disruptive Technology Solutions,0.7403754666723545,32669,Online Disruptive Technologies,1498380.0,22789,Disruptive Technology Solutions,164828,103094.0
Fall Line Endurance Fund,,1.0,38127,Fall Line Endurance Fund,1675025.0,53912,,310188,
Block Fund One,,1.0,154068,Block Fund One,1910650.0,53912,,310188,
Fortress Packard,,1.0,56078,Fortress Packard,1683324.0,53912,,310188,
Blue Spark Technologies,Rock Bluff  Technology Partnership,0.9304463741796664,30792,Blue Spark Technologies,1397714.0,12232,Rock Bluff  Technology Partnership,111838,20535.0
Holbrook Advantage,Cr Advantage,0.9379674581077669,35444,Holbrook Advantage,1602693.0,2554,Cr Advantage,283476,12569.0
Intershunt Technologies,Disruptive Technology Solutions Biotechnology,0.9576615320660419,99141,Intershunt Technologies,1838792.0,22789,Disruptive Technology Solutions Biotechnology,164828,103094.0
Sei Offshore Advanced Strategy Series Spc Structured Credit Segregated Portfolio, Segregated Portfolio A Segregated Portfolio Of Sciens Real Assets Offshore Fund Spc,0.7779692241568408,31794,Sei Offshore Advanced Strategy Series Spc Structured Credit Segregated Portfolio,1458445.0,56609, Segregated Portfolio A Segregated Portfolio Of Sciens Real Assets Offshore Fund Spc,299996,
Tire Agent,,0.9999999999999999,82797,Tire Agent,1728706.0,53912,,310188,
Kpam Tactical Alpha Fund,New Holland Tactical Alpha Fund,0.8462547265833879,92695,Kpam Tactical Alpha Fund,1828577.0,17631,New Holland Tactical Alpha Fund,173841,9361.0
Red Pasture,,1.0,104382,Red Pasture,1841552.0,53912,,310188,
Cqs Diversified Fund Spc Segregated Portfolio Alpha Ii,Map  Segregated Portfolio A Segregated Portfolio Of Lma Spc,0.8080820455680399,72720,Cqs Diversified Fund Spc Segregated Portfolio Alpha Ii,1572897.0,47545,Map  Segregated Portfolio A Segregated Portfolio Of Lma Spc,298275,
Neurotrack Technologies,Disruptive Technology Solutions Biotechnology,0.9500211343555098,34718,Neurotrack Technologies,1577569.0,22789,Disruptive Technology Solutions Biotechnology,164828,103094.0
Genopalate,,1.0000000000000002,68337,Genopalate,1736000.0,53912,,310188,
Zebra Global Equity Fund,Barings Global Equity Fund,0.8685598894522845,58411,Zebra Global Equity Fund,1545650.0,4530,Barings Global Equity Fund,105724,5713.0
Global Sovereign Opportunities Fund,Global Opportunities,0.7790912649981471,67751,Global Sovereign Opportunities Fund,1725046.0,3615,Global Opportunities,107738,259.0
Worcester Investments,Hov Investments,0.9668931639310399,62700,Worcester Investments,1613112.0,47890,Hov Investments,298297,
Stanhope Entrepreneurs I Sub Fund Of Portman Square Private Funds Sicav Sif,,1.0,41399,Stanhope Entrepreneurs I Sub Fund Of Portman Square Private Funds Sicav Sif,1731811.0,53912,,310188,
Home Ec,Ecom I,0.834852042213867,84612,Home Ec,1528566.0,47503,Ecom I,298653,
South Plains Financial,,1.0,75529,South Plains Financial,1163668.0,53912,,310188,
Ocean City Storage,,0.9999999999999999,68504,Ocean City Storage,1796606.0,53912,,310188,
Prime Social Naples,,1.0,169045,Prime Social Naples,1934694.0,53912,,310188,
Allianzgi Structured Alpha Multi Beta Series I Us Large Cap Series,,1.0,37934,Allianzgi Structured Alpha Multi Beta Series I Us Large Cap Series,1671563.0,53912,,310188,
Fortis Financial,Foundation Financial Partners,0.7940900057873886,74958,Fortis Financial,1401831.0,22196,Foundation Financial Partners,121859,142354.0
Chiefofstaffcom,,1.0,76958,Chiefofstaffcom,1805159.0,53912,,310188,
Rino Partners Investment Group,Verity Investment Partners,0.9360534865083069,150356,Rino Partners Investment Group,1917134.0,16013,Verity Investment Partners,137607,14335.0
Arctrust Iii,,0.9999999999999999,43588,Arctrust Iii,1756823.0,53912,,310188,
Outerbridge Special Opportunities Fund,Special Credit Opportunities Series A,0.8772598345176239,94668,Outerbridge Special Opportunities Fund,1825077.0,13253,Special Credit Opportunities Series A,107105,246.0
Smith Asset Management Group Absolute Return Fund I,Solitude Asset Management A Fund,0.9469192742260449,34909,Smith Asset Management Group Absolute Return Fund I,1583043.0,46536,Solitude Asset Management A Fund,296791,
Hound Partners Variable Beta Fund,,0.9999999999999999,92466,Hound Partners Variable Beta Fund,1827433.0,53912,,310188,
Manulife Private Equity Partners,Starr Private Equity Partners V,0.8256446829999128,52984,Manulife Private Equity Partners,1781932.0,47180,Starr Private Equity Partners V,297886,
Wcm Hudson Valley Partners,,0.9999999999999999,26710,Wcm Hudson Valley Partners,819176.0,53912,,310188,
Seattle Funding Group,,1.0,35775,Seattle Funding Group,1611467.0,53912,,310188,
Equitybee    A Series Of Equitybee Master,,1.0,163632,Equitybee    A Series Of Equitybee Master,1923569.0,53912,,310188,
Colombard Offshore Fund,Global Opportunities Offshore,0.9906803219273488,72344,Colombard Offshore Fund,1542078.0,3615,Global Opportunities Offshore,107738,259.0
Ia Global,Credence Global,0.9586990648636401,22554,Ia Global,1077634.0,51723,Credence Global,307106,
Ag Capital Recovery Partners Europe Viii,Ag Capital Recovery Partners Europe Viii,1.0536712127723509e-08,70427,Ag Capital Recovery Partners Europe Viii,1630475.0,11617,Ag Capital Recovery Partners Europe Viii,131940,168.0
Hecla Mining De,,1.0,26396,Hecla Mining De,719413.0,53912,,310188,
Wesley Capital Qp,Pey Capital,0.9703680559040228,12240,Wesley Capital Qp,1434848.0,9783,Pey Capital,169974,8804.0
First Quadrant Essential Beta Fund,Northwest Quadrant Venture Fund,0.9798902509982166,32291,First Quadrant Essential Beta Fund,1479077.0,48265,Northwest Quadrant Venture Fund,299188,
Cell Source,,1.0,62257,Cell Source,1569340.0,53912,,310188,
Ch Sea Tac,,1.0,56193,Ch Sea Tac,1572826.0,53912,,310188,
Unstacked A Series Of Assure Labs ,,0.9999999999999999,82395,Unstacked A Series Of Assure Labs ,1811323.0,53912,,310188,
Karma Culture,,0.9999999999999999,94997,Karma Culture,1518186.0,53912,,310188,
Princeton Fund,,0.9999999999999999,30020,Princeton Fund,1333319.0,53912,,310188,
Troubadour Golf Field Club,,0.9999999999999999,67889,Troubadour Golf Field Club,1761520.0,53912,,310188,
National Secured Income Fund,,1.0,113626,National Secured Income Fund,1442792.0,53912,,310188,
Loomis Sayles World Bond Trust,,0.9999999999999999,66815,Loomis Sayles World Bond Trust,1424666.0,53912,,310188,
Pasofino Gold,,1.0,91805,Pasofino Gold,1827298.0,53912,,310188,
Bardy Diagnostics,,1.0,38617,Bardy Diagnostics,1686365.0,53912,,310188,
Series  Of Rmb Fixed Income Opportunities Qp,Credit Opportunities Fund Pgim Fixed Income Alternatives Master Fund Icav,0.9991819131413838,57570,Series  Of Rmb Fixed Income Opportunities Qp,1557445.0,7609,Credit Opportunities Fund Pgim Fixed Income Alternatives Master Fund Icav,105676,245.0
Steelhead Pathfinder Fund L P,,0.9999999999999998,30161,Steelhead Pathfinder Fund L P,1347051.0,53912,,310188,
International Value Investments,London International Investment Fund,0.7795131284359875,70411,International Value Investments,1355967.0,18937,London International Investment Fund,158764,
D E Shaw Us Large Cap Core Enhanced Special Fund Ma,,0.9999999999999999,32236,D E Shaw Us Large Cap Core Enhanced Special Fund Ma,1475475.0,53912,,310188,
Qf Fund I A Series Of Roll Up Vehicles,,1.0,153935,Qf Fund I A Series Of Roll Up Vehicles,1918599.0,53912,,310188,
Capital Guardian Emerging Markets Equity Fund For Tax Exempt Trusts,Strategic Emerging Markets Equity Trust,0.9020978162322192,31770,Capital Guardian Emerging Markets Equity Fund For Tax Exempt Trusts,1457817.0,13621,Strategic Emerging Markets Equity Trust,104862,36.0
All Day Holdings,Coin Capital Holdings,0.9657823834785144,99629,All Day Holdings,1839147.0,45749,Coin Capital Holdings,289961,
Healthcare Value Partners,Sagard Healthcare Royalty Partners,0.8574112490707967,62957,Healthcare Value Partners,1358300.0,50536,Sagard Healthcare Royalty Partners,304924,
Rosewood Estates Jv,,1.0,159564,Rosewood Estates Jv,1931686.0,53912,,310188,
Midland Mesa Minerals,Mig Middletown Invest,0.9942395990339149,89204,Midland Mesa Minerals,1822831.0,56964,Mig Middletown Invest,315219,
Alung Technologies,Disruptive Technology Solutions Biotechnology,0.8595796171088117,55266,Alung Technologies,1179295.0,22789,Disruptive Technology Solutions Biotechnology,164828,103094.0
Wis Growth Partners,Cis Hedged Growth Partners,0.8148881628062955,71439,Wis Growth Partners,898858.0,7357,Cis Hedged Growth Partners,106993,661.0
Pinebridge Private Credit Ii Parallel Rff,Pinebridge Private Credit,0.559916498520735,92647,Pinebridge Private Credit Ii Parallel Rff,1827555.0,4651,Pinebridge Private Credit,105926,12717.0
Concert Live,,0.9999999999999999,70385,Concert Live,1798710.0,53912,,310188,
High End Holdings,Torchlight Tv Holdings,0.9916703665157873,179019,High End Holdings,1941432.0,12316,Torchlight Tv Holdings,161664,4117.0
Edale Europe Absolute Fund,Gotham Absolute  Core Fund,0.989350115195351,33964,Edale Europe Absolute Fund,1552006.0,6059,Gotham Absolute  Core Fund,149335,12537.0
Black Diamond Relative Value,Bluecove Solstice Relative Value Fund,0.9097396574749691,31898,Black Diamond Relative Value,1460819.0,4335,Bluecove Solstice Relative Value Fund,173794,
Dacra Adjudication Systems,,0.9999999999999999,80962,Dacra Adjudication Systems,1809233.0,53912,,310188,
Cb Pharma Acquisition,,1.0,36039,Cb Pharma Acquisition,1619551.0,53912,,310188,
Boston Common International Sustainable Climate Fund,Paloma International,0.9387188479170421,35661,Boston Common International Sustainable Climate Fund,1608384.0,9758,Paloma International,160328,75584.0
Ramp Business,,0.9999999999999999,76675,Ramp Business,1803782.0,53912,,310188,
Gcm Grosvenor Private Equity Partners ,Starr Private Equity Partners V,0.9070051802058751,81728,Gcm Grosvenor Private Equity Partners ,1810841.0,47180,Starr Private Equity Partners V,297886,
Sali Multi Series Fund Iv,Sali Multiseries Fund,0.604991079214216,55473,Sali Multi Series Fund Iv,1560003.0,7974,Sali Multiseries Fund,143478,5053.0
Owl Creek Ii,,1.0,66605,Owl Creek Ii,1178296.0,53912,,310188,
Fidelis Financial Planning,,0.9999999999999999,42245,Fidelis Financial Planning,1739521.0,53912,,310188,
Sc Absolute Return Fund Series B,Seix Multi Sector Absolute Return Fund,0.8422896256247424,34425,Sc Absolute Return Fund Series B,1569397.0,11997,Seix Multi Sector Absolute Return Fund,146029,
Tcf Waukee Active Living,,1.0,116067,Tcf Waukee Active Living,1725151.0,53912,,310188,
Threatlocker,,0.9999999999999999,90076,Threatlocker,1824320.0,53912,,310188,
Ironwood Four Capital,Ironwood Concentrated Fund,0.7993411379732538,64809,Ironwood Four Capital,1793415.0,12770,Ironwood Concentrated Fund,108467,2386.0
Tekne Offshore Fund,,0.9999999999999999,34124,Tekne Offshore Fund,1557578.0,53912,,310188,
 Br Holdco Dst,,0.9999999999999999,37652, Br Holdco Dst,1666281.0,53912,,310188,
Kinesis Holdings I,Coin Capital Holdings,0.9203688963796204,70885,Kinesis Holdings I,1624171.0,45749,Coin Capital Holdings,289961,
Kb International Fashion,Paloma International,0.9277488563801191,43257,Kb International Fashion,1751150.0,9758,Paloma International,160328,75584.0
Concorde Group Holdings,Coin Capital Holdings,0.9998198112328155,54180,Concorde Group Holdings,1634096.0,45749,Coin Capital Holdings,289961,
Maverick Ventures Investment Fund,Portage Ventures Iii Investments,0.9011774475485105,100302,Maverick Ventures Investment Fund,1632191.0,50536,Portage Ventures Iii Investments,304924,
Wildcat Discovery Technologies,Investcorp Technology Secondary Fund ,0.9704688727857738,62958,Wildcat Discovery Technologies,1382044.0,6097,Investcorp Technology Secondary Fund ,137790,
Bpl Debt Fund I,,1.0,138457,Bpl Debt Fund I,1902283.0,53912,,310188,
Spark Intrepid,,1.0000000000000002,64341,Spark Intrepid,1539478.0,53912,,310188,
Paper Profits,,1.0,84102,Paper Profits,1804236.0,53912,,310188,
Na Fund I A Series Of Ver Ploeg Angel Investments,En Fund I A Series Of Helena Special Investments Al Ventures,0.9251834234927686,132456,Na Fund I A Series Of Ver Ploeg Angel Investments,1893362.0,57865,En Fund I A Series Of Helena Special Investments Al Ventures,317076,146921.0
Indie Diversified Absolute Return Fund,Fulcrum Diversified Absolute Return Master Fund,0.634405681411342,43099,Indie Diversified Absolute Return Fund,1748229.0,6219,Fulcrum Diversified Absolute Return Master Fund,137661,7053.0
Vertex Albion Capital,,0.9999999999999999,107509,Vertex Albion Capital,1851864.0,53912,,310188,
Surprise Covenant Group,,1.0,60178,Surprise Covenant Group,1789380.0,53912,,310188,
Bp Sun,,1.0,98013,Bp Sun,1836334.0,53912,,310188,
Oaktree Employee Investment Fund,Employee Core Fund Ii,0.8213937647270474,28869,Oaktree Employee Investment Fund,1168648.0,7587,Employee Core Fund Ii,174762,141957.0
Zurra,,1.0,69512,Zurra,1797942.0,53912,,310188,
Cyren,,0.9999999999999999,28299,Cyren,1084577.0,53912,,310188,
Hcm Sa,,1.0,95191,Hcm Sa,1831361.0,53912,,310188,
Rief Strategic Partners Fund,Wing Strategic Partners,0.8173718912134048,64495,Rief Strategic Partners Fund,1509650.0,8624,Wing Strategic Partners,168461,
Hong Feng Zheng,,0.9999999999999999,63319,Hong Feng Zheng,1552466.0,53912,,310188,
Navvis Company,Compass Sav Ii,0.9856286549050731,37460,Navvis Company,1661102.0,48600,Compass Sav Ii,299940,59554.0
General Graphene,Tdr Capital General Partner,0.9677802990563384,68435,General Graphene,1662912.0,5305,Tdr Capital General Partner,161428,
Trov,,1.0,79121,Trov,1553586.0,53912,,310188,
Wuju,,1.0,68203,Wuju,1696755.0,53912,,310188,
Simplehealth Ventures,,0.9999999999999999,36703,Simplehealth Ventures,1639667.0,53912,,310188,
Select Ai Strategies,P&A Select Strategy Fund,0.9518289645243175,35456,Select Ai Strategies,1603106.0,9624,P&A Select Strategy Fund,111731,142825.0
Cz Holdings,Coin Capital Holdings,0.8656836978834482,62995,Cz Holdings,1688556.0,45749,Coin Capital Holdings,289961,
Blr Partners,Llr Equity Partners Ii,0.878919132642245,35674,Blr Partners,1608827.0,49071,Llr Equity Partners Ii,300267,64962.0
Innovating Capital Partners,Innovation X Capital Partners,0.6376371209188058,70592,Innovating Capital Partners,1726557.0,60525,Innovation X Capital Partners,322292,
Ira Shares,,1.0,124014,Ira Shares,1880649.0,53912,,310188,
X Kaleidoscope Investors,,1.0,147417,X Kaleidoscope Investors,1911954.0,53912,,310188,
Suisse View Fx,,1.0,72350,Suisse View Fx,1609440.0,53912,,310188,
Fq Macro Fund,,0.9999999999999999,36279,Fq Macro Fund,1628831.0,53912,,310188,
Arpari,,1.0,152984,Arpari,1916928.0,53912,,310188,
Squarepoint Focus International Feeder,Squarepoint Master Fund,0.9084680151410598,39693,Squarepoint Focus International Feeder,1706782.0,1136,Squarepoint Master Fund,192513,
Oak Mountain Brewing Company Liability,,1.0,61844,Oak Mountain Brewing Company Liability,1791017.0,53912,,310188,
Dermody Properties Industrial Wilmington Feeder,,0.9999999999999998,88284,Dermody Properties Industrial Wilmington Feeder,1820737.0,53912,,310188,
Fe Fund I A Series Of Al Vrodrigues Funds,Se Fund I A Series Of Mv Funds,0.9017039745872447,125955,Fe Fund I A Series Of Al Vrodrigues Funds,1883549.0,54213,Se Fund I A Series Of Mv Funds,311231,
Greenfield Robotics,,0.9999999999999999,100142,Greenfield Robotics,1760404.0,53912,,310188,
Csb Legend,,1.0,65000,Csb Legend,1793847.0,53912,,310188,
North Haven Capital Partners Cv A,Gs Capital Partners V,0.9769778609307538,132032,North Haven Capital Partners Cv A,1889260.0,5463,Gs Capital Partners V,361,7869.0
Greeneden Topco Sca,,1.0,132733,Greeneden Topco Sca,1554712.0,53912,,310188,
Digital Shadows,,1.0,36525,Digital Shadows,1635750.0,53912,,310188,
Nicola Global Bond Fund,Capital Group Global Bond Fund Lux,0.9576515638153567,114314,Nicola Global Bond Fund,1854985.0,10035,Capital Group Global Bond Fund Lux,162640,420.0
New Use Energy Solutions,,1.0,109773,New Use Energy Solutions,1854841.0,53912,,310188,
Grosvenor Multi Strategy Leveraged Feeder Fund I,Vantage Multi Strategy Fund,0.9452542300701532,73052,Grosvenor Multi Strategy Leveraged Feeder Fund I,1535088.0,4540,Vantage Multi Strategy Fund,105240,103497.0
Sentinel Hs Foundation Fund,Foundation Financial Partners,0.9579672902378278,36198,Sentinel Hs Foundation Fund,1625994.0,22196,Foundation Financial Partners,121859,142354.0
Xo Armor Technologies,Disruptive Technology Solutions Biotechnology,0.9398722299720261,131189,Xo Armor Technologies,1891519.0,22789,Disruptive Technology Solutions Biotechnology,164828,103094.0
Morris Equity Fund I,Lasp Equity Fund,0.9950830721479018,90582,Morris Equity Fund I,1825222.0,54619,Lasp Equity Fund,311716,
Ff Supply Wisdom Fund,,0.9999999999999999,111010,Ff Supply Wisdom Fund,1860327.0,53912,,310188,
Fund Fg Dwr A Series Of Forge Investments,,0.9999999999999999,64139,Fund Fg Dwr A Series Of Forge Investments,1754679.0,53912,,310188,
Oceangate,,0.9999999999999999,34159,Oceangate,1559118.0,53912,,310188,
Concord Innovation Fund Ii,Polaris Innovation Fund Ii,0.7628735960273666,101074,Concord Innovation Fund Ii,1842109.0,46927,Polaris Innovation Fund Ii,297431,
Sabby Volatility Warrant Fund,,1.0,33720,Sabby Volatility Warrant Fund,1544312.0,53912,,310188,
Tun,,1.0,141035,Tun,1906297.0,53912,,310188,
Astorg Midcap,,1.0,101940,Astorg Midcap,1841083.0,53912,,310188,
Dx Ventures Ii, Ventures,0.6296117050279892,105095,Dx Ventures Ii,1846766.0,60788, Ventures,322559,
Aggressive  Fund,Aggies,0.9420575936632519,35511,Aggressive  Fund,1604590.0,6626,Aggies,104536,982.0
Commonfund Capital Global Private Equity Partners Iv Feeder,Private Equity Capital Partners  Nq,0.9261215914916375,163142,Commonfund Capital Global Private Equity Partners Iv Feeder,1935783.0,6409,Private Equity Capital Partners  Nq,122268,
Serengeti Caracal Fund,,1.0,72170,Serengeti Caracal Fund,1762368.0,53912,,310188,
Wind Point Partners Ix B,Wind Point Partners Iv,0.6045825646453409,54075,Wind Point Partners Ix B,1779784.0,8152,Wind Point Partners Iv,156485,
Ro Acquisition,Gallant Screening Acquisition,0.8628003416333772,46909,Ro Acquisition,1770667.0,47837,Gallant Screening Acquisition,297344,
Aq Sage Parent,,0.9999999999999999,101939,Aq Sage Parent,1841068.0,53912,,310188,
Pimco Distressed Senior Credit Opportunities Fund Ii,Indigo Prime Credit Opportunities Fund,0.9076000290724309,72050,Pimco Distressed Senior Credit Opportunities Fund Ii,1532934.0,29800,Indigo Prime Credit Opportunities Fund,167509,
Ullico Diversified International Equity Fund,Scs International Equity Fund,0.8714228772524627,57084,Ullico Diversified International Equity Fund,1374721.0,14846,Scs International Equity Fund,104702,237.0
Crayon,,1.0,36803,Crayon,1642496.0,53912,,310188,
Immediate Solutions,Generation Im Climate Solutions Fund Us,0.8913821860749556,106678,Immediate Solutions,1850413.0,10956,Generation Im Climate Solutions Fund Us,132728,
Falcon Kestrel Reit,Kestrel A Series Of Falcon  ,0.8011304996747004,100086,Falcon Kestrel Reit,1840153.0,58753,Kestrel A Series Of Falcon  ,317875,
Pfm Solutions,Pfm Thematic Growth Institutional Master Fund,0.9774652899168741,59338,Pfm Solutions,1708011.0,11832,Pfm Thematic Growth Institutional Master Fund,146747,3278.0
